POINT ID,EASTING,NORTHING,ELEVATION,DESCRIPTION
742,445206.439,1679727.274,263.605,GP
743,445166.649,1679810.887,256.404,GP
744,445169.34,1679725.758,254.244,GP
745,445271.867,1679751.565,268.892,GP
746,445275.542,1679757.067,268.585,GP
747,445280.37,1679764.46,267.976,GP
748,445286.078,1679770.771,267.5,GP
749,445290.733,1679775.29,267.022,GP
750,445294.302,1679778.742,266.682,GP
751,445299.169,1679783.528,266.399,GP
752,445260.903,1679728.083,270.23,GP
753,445263.548,1679735.203,269.76,GP
754,445281.865,1679766.698,267.886,GP
755,445266.814,1679743.939,269.602,GP
756,445257.179,1679718.057,270.922,GP
757,445280.274,1679769.339,267.089,GP
758,445270.359,1679754.717,268.339,GP
759,445274.228,1679760.819,267.811,GP
760,445268.614,1679751.61,268.721,GP
761,445263.896,1679743.502,269.45,GP
762,445260.219,1679736.981,269.862,GP
763,445258.032,1679732.232,270.212,GP
764,445249.271,1679714.485,271.323,GP
765,445251.908,1679720.125,270.879,GP
766,445300.788,1679759.58,268.027,GP
767,445289.468,1679717.752,270.248,GP
768,445195.532,1679742.344,259.992,GP
769,445178.062,1679750.19,260.024,GP
770,445166.354,1679755.363,260.049,GP
771,445197.94,1679727.125,261.343,GP
772,445193.261,1679729.729,260.804,GP
773,445284.8503,1679751.914,268.296,GP
774,445282.5016,1679727.979,269.166,GP
775,445289.2654,1679739.581,269.224,GP
776,445302.3101,1679710.743,270.784,GP
777,445254.7375,1679718.632,270.791,GP
778,445273.2735,1679716.301,269.744,GP
779,445275.6779,1679728.92,269.314,GP
780,445268.4178,1679808.245,265.015,GP
781,445271.9425,1679802.918,265.575,GP
782,445265.6815,1679792.613,266.015,GP
783,445256.0237,1679786.762,265.455,GP
784,445259.5797,1679804.344,265.205,GP
785,445266.6973,1679803.452,265.865,GP
786,445273.7492,1679807.531,265.125,GP
787,445272.6891,1679758.356,267.915,GP
788,445254.9425,1679764.966,266.135,GP
789,445266.166,1679764.052,267.035,GP
790,445248.8191,1679777.91,264.825,GP
791,445261.641,1679778.124,266.265,GP
792,445283.8848,1679776.239,266.455,GP
793,445291.2323,1679794.496,265.862,GP
794,445281.3598,1679800.997,265.982,GP
795,445302.4733,1679800.633,264.902,GP
796,445283.9095,1679804.239,266.002,GP
797,445278.8134,1679806.896,265.632,GP
798,445213.0201,1679744.259,261.285,GP
799,445247.8944,1679715.747,271.039,GP
800,445254.3417,1679789.025,265.689,GP
801,445257.6819,1679739.155,269.869,GP
802,445227.996,1679720.897,266.755,GP
803,445231.9316,1679712.074,271.659,GP
804,445301.7134,1679759.92,267.711,GP
805,445196.2403,1679800.107,261.406,GP
806,445201.8799,1679796.475,261.176,GP
807,445190.6361,1679808.549,262.136,GP
808,445208.6762,1679794.714,261.136,GP
809,445211.9104,1679811.109,264.225,GP
810,445189.2317,1679799.963,261.076,GP
811,445293.883,1679756.434,268.416,GP
812,445290.869,1679754.125,268.486,GP
813,445289.165,1679751.527,268.766,GP
814,445286.805,1679748.599,268.861,GP
815,445285.285,1679745.382,269.03,GP
816,445280.509,1679747.466,268.753,GP
817,445277.516,1679755.998,268.395,GP
818,445282.169,1679762.861,267.947,GP
819,445287.008,1679768.721,267.513,GP
820,445297.848,1679763.535,267.201,GP
821,445295.864,1679766.452,266.992,GP
822,445291.53,1679773.219,267.04,GP
823,445301.968,1679764.846,267.005,GP
824,445296.001,1679721.896,269.634,GP
825,445299.642,1679722.697,269.606,GP
826,445300.207,1679726.668,269.283,GP
827,445287.362,1679724.823,269.282,GP
828,445277.596,1679723.726,269.534,GP
829,445268.93,1679722.596,269.86,GP
830,445272.027,1679729.347,269.473,GP
831,445280.111,1679729.851,269.263,GP
832,445287.501,1679730.962,269.161,GP
833,445286.703,1679736.35,269.09,GP
834,445287.225,1679740.258,269.29,GP
835,445282.052,1679741.536,268.868,GP
836,445277.288,1679742.871,268.939,GP
837,445275.562,1679738.661,269.182,GP
838,445281.041,1679737.434,269.05,GP
839,445279.335,1679732.537,269.218,GP
840,445272.547,1679732.87,269.44,GP
841,445284.013,1679722.65,269.34,GP
842,445274.802,1679720.644,269.564,GP
843,445267.54,1679720.349,269.963,GP
844,445264.927,1679719.416,270.104,GP
845,445300.548,1679718.379,270.356,GP
846,445297.533,1679714.402,270.342,GP
847,445295.257,1679717.631,270.309,GP
848,445284.1,1679713.416,270.02,GP
849,445271.081,1679712.633,270.208,GP
850,445297.182,1679810.819,265.362,GP
851,445288.02,1679808.516,264.133,GP
852,445296.043,1679803.844,264.83,GP
853,445301.311,1679794.73,265.313,GP
854,445297.132,1679789.18,265.734,GP
855,445284.935,1679774.927,266.621,GP
856,445288.921,1679780.377,266.311,GP
857,445293.178,1679787.801,265.848,GP
858,445296.27,1679792.26,265.489,GP
859,445292.206,1679795.9,265.499,GP
860,445289.646,1679800.135,265.426,GP
861,445449.0528,1679257.337,276.352,GP
862,445463.2767,1679264.87,272.787,GP
863,445456.4422,1679260.483,274.62,GP
864,445447.0716,1679240.164,278.377,GP
865,445465.3318,1679214.518,276.615,GP
866,445473.8585,1679217.372,273.609,GP
867,445459.0795,1679213.03,278.816,GP
868,445480.0266,1679237.563,268.563,GP
869,445466.8794,1679224.112,274.684,GP
870,445447.4335,1679215.947,279.765,GP
871,445446.3257,1679210.861,280.461,GP
872,445504.2974,1679250.978,262,GP
873,445463.6051,1679244.91,275.105,GP
874,445465.6672,1679231.613,274.623,GP
875,445469.4244,1679234.844,272.569,GP
876,445454.707,1679230.377,278.405,GP
877,445459.393,1679230.183,276.969,GP
878,445458.9682,1679239.689,276.64,GP
879,445557.061,1679233.571,273.459,GP
880,445565.8784,1679218.459,273.579,GP
881,445505.1448,1679270.959,257.871,GP
882,445500.2708,1679276.078,257.191,GP
883,445481.9131,1679302.395,254.499,GP
884,445499.261,1679270.301,259.391,GP
885,445498.7756,1679281.57,256.729,GP
886,445551.0492,1679249.742,268.639,GP
887,445558.2098,1679249.461,269.239,GP
888,445549.7446,1679238.494,273.159,GP
889,445557.0641,1679238.852,271.789,GP
890,445488.2634,1679295.782,257.239,GP
891,445492.0613,1679278.856,262.101,GP
892,445539.1645,1679242.199,269.339,GP
893,445500.2563,1679290.462,255.979,GP
894,445493.3554,1679286.211,259.829,GP
895,445573.2439,1679274.633,262.382,GP
896,445575.9453,1679279.204,260.332,GP
897,445572.7439,1679214.801,272.359,GP
898,445574.798,1679235.291,272.769,GP
899,445570.2847,1679250.023,271.169,GP
900,445575.5464,1679247.604,271.369,GP
901,445518.882,1679301.861,247.585,GP
902,445489.684,1679303.402,254.555,GP
903,445467.292,1679284.497,269.171,GP
904,445476.358,1679269.678,269.429,GP
905,445500.652,1679208.834,272.86,GP
906,445510.136,1679209.024,272.083,GP
907,445536.139,1679208.701,273.999,GP
908,445533.437,1679217.434,273.05,GP
909,445526.428,1679214.778,271.892,GP
910,445528.019,1679221.571,271.812,GP
911,445522.561,1679221.726,270.429,GP
912,445526.13,1679230.296,270.632,GP
913,445533.254,1679228.658,272.538,GP
914,445536.161,1679229.486,273.001,GP
915,445539.855,1679232.675,273.019,GP
916,445534.108,1679238.933,270.798,GP
917,445527.654,1679242.008,268.538,GP
